Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-02,427.533877248033,435.1588741169636,425.80092616148227,431.0393981933594,30757400,0.0,0.0
2025-05-05,428.652877068793,435.2182909345157,427.9002714913439,431.9207458496094,20136100,0.0,0.0
2025-05-06,427.98939046931366,433.4655143471482,426.9694262460728,429.08856201171875,15104200,0.0,0.0
2025-05-07,429.6134515274466,433.8517538131467,426.9100367836598,429.12823486328125,23295300,0.0,0.0
2025-05-08,433.66359321182534,439.34769356127396,431.4157188741818,433.9012756347656,23491300,0.0,0.0
2025-05-09,435.7133964534002,436.4461774951318,431.6335394854884,434.4557800292969,15324200,0.0,0.0
2025-05-12,441.59557651706575,444.99215360101994,435.495584693897,444.88323974609375,22821900,0.0,0.0
2025-05-13,443.4176075446257,446.27946690563454,441.0211705280613,444.7643737792969,23618800,0.0,0.0
2025-05-14,443.77414887416586,449.47801330220653,443.77414887416586,448.5273742675781,19902800,0.0,0.0
2025-05-15,447.19799203765865,452.5750561297104,446.86068990284366,449.539306640625,21992300,0.83,0.0
2025-05-16,448.4678177382938,450.7595102326154,445.17414935289,450.67022705078125,23849800,0.0,0.0
2025-05-19,447.3070896149787,455.9480603525366,447.2277066057748,455.2337646484375,21336500,0.0,0.0
2025-05-20,451.9797648957129,454.70797307292094,450.71983965496236,454.5393371582031,15441800,0.0,0.0
2025-05-21,450.967885651573,454.1524403651085,448.22974686474834,448.9837341308594,19216900,0.0,0.0
2025-05-22,451.34489818162797,456.6028878213618,450.3032004241896,451.2555847167969,18025600,0.0,0.0
2025-05-23,446.4142434023006,450.0948358464348,445.3527151156796,446.6126403808594,16883500,0.0,0.0
2025-05-27,452.86273735527834,457.29731705224054,452.5055743512772,457.03936767578125,20974300,0.0,0.0
2025-05-28,457.56514563572654,458.8548319074409,453.309132497874,453.7357177734375,17086300,0.0,0.0
2025-05-29,457.89257129241645,458.0612374989779,451.702028016876,455.0453186035156,13974800,0.0,0.0
2025-05-30,456.07703188956276,458.02149174118404,451.93016282180776,456.7119445800781,34770500,0.0,0.0
2025-06-02,453.51752207653715,458.44810948050275,453.2695031394806,458.3092346191406,16626500,0.0,0.0
2025-06-03,457.81315604121755,460.46201137480375,457.20797414521616,459.30126953125,15743800,0.0,0.0
2025-06-04,460.3231275179124,461.9997378828715,459.35088242690273,460.19415283203125,14162700,0.0,0.0
2025-06-05,461.2755213187348,465.92835889810493,460.35289815926444,463.9739685058594,20131700,0.0,0.0
2025-06-06,466.3648774509946,469.58912358157227,465.0652606634985,466.652587890625,15285600,0.0,0.0
2025-06-09,465.9779957450024,469.67841894667356,464.90653697170796,469.0038146972656,16469900,0.0,0.0
2025-06-10,467.45617352695865,469.0534009468453,463.25968221899245,467.1883239746094,15375900,0.0,0.0
2025-06-11,466.29541399515057,471.7022387212418,465.93828127215454,468.87481689453125,16399200,0.0,0.0
2025-06-12,471.2557893550323,476.6130223697302,469.7676758011157,475.0752868652344,18950600,0.0,0.0
2025-06-13,472.6348110082228,475.3828499324856,469.0137405811006,471.1962890625,16814500,0.0,0.0
2025-06-16,471.44428961660435,476.8808754060361,471.23596219473825,475.3431701660156,15626100,0.0,0.0
2025-06-17,471.63279762120845,474.9463269378011,470.3232503868908,474.25189208984375,15414100,0.0,0.0
2025-06-18,474.2121778763568,477.1884049341582,470.70022147094187,476.4344177246094,17526500,0.0,0.0
2025-06-20,478.4087168746746,479.6289507141904,473.09117492174096,473.6169738769531,37576200,0.0,0.0
2025-06-23,474.42052531416374,483.884936234588,468.76571183115124,482.1488037109375,24864000,0.0,0.0
2025-06-24,485.07541514458467,487.9524285572733,482.9424282150726,486.2261962890625,22305600,0.0,0.0
2025-06-25,488.1409520653471,490.64097201284227,485.5119574284625,488.3691101074219,17495100,0.0,0.0
2025-06-26,489.0735074056833,494.09340820956044,488.9048412091741,493.5080871582031,21578900,0.0,0.0
2025-06-27,493.60726767719865,495.3434002058453,489.12309627390664,492.0100402832031,34539200,0.0,0.0
2025-06-30,493.101351114434,496.79187420420715,491.4048797426009,493.4684143066406,28369000,0.0,0.0
2025-07-01,492.53583641461546,494.10330273882704,487.08935037246306,488.1508483886719,19945400,0.0,0.0
2025-07-02,486.107196925814,489.5893925672679,484.82744098086494,487.198486328125,16319600,0.0,0.0
2025-07-03,489.89694493303733,496.16687121115365,489.52988173373706,494.8870849609375,13984800,0.0,0.0
2025-07-07,493.4386378219278,494.7977767455099,491.3056810299541,493.77593994140625,13981600,0.0,0.0
2025-07-08,493.2997134401056,494.25212791462184,490.1945116420166,492.68463134765625,11846600,0.0,0.0
2025-07-09,496.3354652236218,502.76412671878114,495.77990524850594,499.5200500488281,18659500,0.0,0.0
2025-07-10,499.0637004891913,500.4427003321828,493.80571105535574,497.50616455078125,16492100,0.0,0.0
2025-07-11,494.51996982276876,501.0279839194423,493.85526578992295,499.33154296875,16459500,0.0,0.0
2025-07-14,497.5458219138798,499.9764196247383,497.0597144820079,499.033935546875,12058800,0.0,0.0
2025-07-15,499.033906939414,504.27206541624594,498.805748905247,501.8117370605469,14927200,0.0,0.0
2025-07-16,501.1768265275145,502.70463167926073,497.9129190668174,501.61334228515625,15154400,0.0,0.0
2025-07-17,501.67285674255714,509.3019216630888,501.61333461976557,507.6451721191406,17503100,0.0,0.0
2025-07-18,510.4030974050004,510.5618634291492,503.40897568442307,506.0082092285156,21209700,0.0,0.0
2025-07-21,502.69469811942383,508.03210080948105,501.54388660874696,506.0181579589844,14066800,0.0,0.0
2025-07-22,506.92095727911294,507.1491456054249,501.26611328125,501.26611328125,13868600,0.0,0.0
2025-07-23,502.7343595827018,502.77405108780124,496.7323137246232,501.861328125,16396600,0.0,0.0
2025-07-24,504.73836945889843,509.59953458867506,503.28001689239056,506.8316650390625,16107000,0.0,0.0
2025-07-25,508.409026924469,514.1829150146133,506.3157616392057,509.6392517089844,19125700,0.0,0.0
2025-07-28,510.0063088656235,510.91900158393673,506.07766717141,508.4388122558594,14308000,0.0,0.0
2025-07-29,511.4448362580723,513.5182406496896,507.50626407616875,508.5082702636719,16469200,0.0,0.0
2025-07-30,511.08764202727673,511.86149016920456,505.4030674134904,509.1729431152344,26380400,0.0,0.0
2025-07-31,550.8301225339796,551.0484106553389,527.6850421089878,529.2723388671875,51617300,0.0,0.0
2025-08-01,530.7605061500977,531.5541546097426,516.7325410439772,519.956787109375,28977600,0.0,0.0
2025-08-04,524.0838536533402,533.9847498429226,523.9449485218581,531.3954467773438,25349000,0.0,0.0
2025-08-05,532.9231983823397,533.0422426180032,523.0619638515897,523.5679321289062,19171600,0.0,0.0
2025-08-06,526.6930052823053,527.4866537198485,519.8774501718309,520.7802124023438,21355700,0.0,0.0
2025-08-07,522.6254396329194,523.9052559727172,513.4487398823029,516.7127075195312,16079100,0.0,0.0
2025-08-08,518.4588193359411,520.5024931820143,515.2940949258492,517.9032592773438,15531000,0.0,0.0
2025-08-11,518.1611446296885,523.4092640243366,515.6015722772428,517.6353759765625,20194400,0.0,0.0
2025-08-12,519.5997169841131,526.7724058726347,518.5580494708657,525.0462036132812,18667000,0.0,0.0
2025-08-13,527.8933740196283,528.478725311786,515.2543395813665,516.4547729492188,19619200,0.0,0.0
2025-08-14,518.4190436500928,521.7821945996749,516.0182375574066,518.3396606445312,20269100,0.0,0.0
2025-08-15,518.6274679925785,521.9310366989816,514.9667059909838,516.0480346679688,25213300,0.0,0.0
2025-08-18,517.4567900842618,518.6770238166106,509.9467697824549,513.0023193359375,23760600,0.0,0.0
2025-08-19,510.919036073865,511.0777415589167,504.5201350651639,505.73046875,21481000,0.0,0.0
2025-08-20,505.8296325155463,506.9506829011106,500.44266872858867,501.7125244140625,27723000,0.0,0.0
2025-08-21,500.5200933584279,504.43529989468334,499.55619671725805,501.0666198730469,18443300,0.83,0.0
2025-08-22,501.07655468445085,507.51578439064156,499.248138173549,504.0378112792969,24324200,0.0,0.0
2025-08-25,503.44159720621536,504.9917771303553,500.9473838488724,501.0865173339844,21638600,0.0,0.0
2025-08-26,501.1858695359189,501.801993130018,495.3727099158942,498.8804931640625,30835700,0.0,0.0
2025-08-27,498.8407434548062,504.09746017877256,496.75395340313815,503.5509033203125,17277900,0.0,0.0
2025-08-28,503.89867767213724,507.87350408410515,502.3186878124423,506.4326477050781,18015600,0.0,0.0
2025-08-29,505.458793364042,506.39287997665497,501.3150235761296,503.5011901855469,20961600,0.0,0.0
2025-09-02,497.32034095368414,502.81553721257154,493.68337117589067,501.9410705566406,18128000,0.0,0.0
