Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-20,174.02812743639052,175.93343447480135,173.65104535533175,174.95101928710938,20160100,0.0,0.0
2024-06-21,175.6456729700876,179.46622050110986,175.25865768617388,178.25555419921875,57759000,0.0,0.0
2024-06-24,178.78147315371626,179.5058831721026,177.30286873730756,177.84866333007812,18298000,0.0,0.0
2024-06-25,178.24559704633074,182.87986179667686,178.04713041446374,182.62185668945312,23130200,0.0,0.0
2024-06-26,181.23257184786374,183.0981763241254,181.0837105201297,182.47300720214844,19839000,0.0,0.0
2024-06-27,182.77070317530075,184.6264047984624,182.61193895476885,183.99130249023438,18848900,0.0,0.0
2024-06-28,182.90963458847077,183.71343423893046,180.5676921399298,180.7562255859375,29156600,0.0,0.0
2024-07-01,181.62950050025836,182.4730025766031,179.91274225321607,181.58981323242188,16006100,0.0,0.0
2024-07-02,180.65702287018632,184.15009335463083,180.17076672022137,183.82261657714844,17372500,0.0,0.0
2024-07-03,183.43562934572327,184.66613181537292,182.59212704981977,184.39820861816406,10242100,0.0,0.0
2024-07-05,184.43786493247498,189.39960668236182,184.3783264542018,189.1416015625,20967500,0.0,0.0
2024-07-08,188.4469257746695,188.71486404073931,186.34315233953677,187.58358764648438,21035900,0.0,0.0
2024-07-09,188.85380640623399,189.89577517091524,187.27597621110633,187.5339813232422,15121400,0.0,0.0
2024-07-10,187.7026819141074,190.28279364749721,187.5836049591009,189.71714782714844,15952500,0.0,0.0
2024-07-11,188.3973038361354,189.39957002449384,183.6637988831332,184.15005493164062,25625800,0.0,0.0
2024-07-12,183.66381817797418,185.67828393880026,183.0783363373865,183.65390014648438,22898400,0.0,0.0
2024-07-15,183.50505596969933,186.79965977611926,183.50505596969933,185.1027374267578,16474000,0.0,0.0
2024-07-16,185.9263913901426,187.2362833659617,181.96691593885006,182.51271057128906,18290700,0.0,0.0
2024-07-17,181.56999463563582,182.1455585458433,178.52347766743955,179.63491821289062,20734100,0.0,0.0
2024-07-18,180.53791505223174,181.10356083919302,175.119701930773,176.3303680419922,25315700,0.0,0.0
2024-07-19,177.511279614787,178.9104792954856,175.77466998349036,176.3006134033203,18881900,0.0,0.0
2024-07-22,179.2081844529357,181.30204007198228,178.85093844213043,180.27992248535156,24100300,0.0,0.0
2024-07-23,180.65700705961783,182.20506795075516,180.15089974687697,180.39898681640625,36352700,0.0,0.0
2024-07-24,172.2716763828317,174.84185492699467,170.5052975643539,171.30909729003906,49585200,0.0,0.0
2024-07-25,171.1999570513624,172.09306459024975,165.91073805088556,166.0000457763672,44852000,0.0,0.0
2024-07-26,165.87099888612107,166.80380863547714,162.8046465209646,165.72215270996094,41336900,0.0,0.0
2024-07-29,167.5381929660285,169.12594142294034,166.70462389049712,168.2328338623047,20293800,0.0,0.0
2024-07-30,168.9373789518768,169.91979407162952,167.15114899500833,168.9869842529297,18959700,0.0,0.0
2024-07-31,171.9144211788754,172.91668748879763,168.70912533779483,170.2274169921875,25729100,0.0,0.0
2024-08-01,168.9473226614739,172.71824977865398,167.58781013807817,169.4534149169922,24531400,0.0,0.0
2024-08-02,165.16644779514462,167.22060083165107,163.40998712477472,165.384765625,29130100,0.0,0.0
2024-08-05,154.3101575722687,163.17182044634595,153.74451178437454,158.03146362304688,53630700,0.0,0.0
2024-08-06,158.11087775486118,159.3413952637539,155.2132221455675,157.07882690429688,49004600,0.0,0.0
2024-08-07,160.01618414211123,161.73294268414506,157.25745672144262,157.72386169433594,25138600,0.0,0.0
2024-08-08,159.28181801513983,162.4374934400702,158.9841256428161,160.79019165039062,25578800,0.0,0.0
2024-08-09,158.7856348991968,162.5367099988413,157.84290710869936,162.41763305664062,28602300,0.0,0.0
2024-08-12,163.09245277727376,163.638232240746,160.60164879815585,161.04820251464844,15895300,0.0,0.0
2024-08-13,162.15963892338314,163.46953080218395,161.72300324977175,162.90390014648438,18551700,0.0,0.0
2024-08-14,161.1573644799167,161.97109738750262,156.50326348113867,159.1428985595703,40591100,0.0,0.0
2024-08-15,159.27189898700752,160.40317542086007,158.38870962322818,160.06578063964844,31524300,0.0,0.0
2024-08-16,160.2344996596875,163.7970268327427,159.89710483293223,161.71310424804688,24208600,0.0,0.0
2024-08-19,164.01535061555833,165.41456556424006,163.00315095672093,165.39471435546875,22416200,0.0,0.0
2024-08-20,165.62293103111787,167.34962258490438,165.54355648931903,165.90078735351562,18341500,0.0,0.0
2024-08-21,163.88630724691845,165.57331138365288,163.40998432722168,164.58096313476562,22902000,0.0,0.0
2024-08-22,165.9801625781286,166.30763931714822,162.06039002531082,162.54664611816406,22493300,0.0,0.0
2024-08-23,163.45959957039315,164.9084194881608,162.5764102626484,164.3527069091797,13955700,0.0,0.0
2024-08-26,165.106913416324,166.26795909914733,163.20160651563705,164.8885955810547,14190400,0.0,0.0
2024-08-27,164.57104961527048,165.1664646925233,163.201619164844,163.419921875,11821900,0.0,0.0
2024-08-28,163.77715768210635,164.33288545251102,160.2940205808296,161.6039276123047,16407400,0.0,0.0
2024-08-29,163.05275436266322,164.70005625165825,159.02382249929119,160.5421142578125,19699800,0.0,0.0
2024-08-30,161.37567316665184,162.4077238619854,160.45279653031872,162.12986755371094,22123800,0.0,0.0
2024-09-03,160.48256877218185,160.61157889702227,155.28265821334085,156.1559295654297,38945300,0.0,0.0
2024-09-04,155.4612989897302,157.78339053713182,154.76665816042646,155.25289916992188,19353800,0.0,0.0
2024-09-05,155.1040553313884,158.22994668183233,154.78649658056972,156.036865234375,18688700,0.0,0.0
2024-09-06,156.09641631309816,156.62235978730988,149.39806418549696,149.76522827148438,37912100,0.0,0.0
2024-09-09,151.54385960268255,152.4282209390493,146.2873778721235,147.7679443359375,39260500,0.2,0.0
2024-09-10,149.4969310708747,150.31174383865772,147.40029682558622,147.71827697753906,31118800,0.0,0.0
2024-09-11,148.97025775559644,150.54025030429756,146.5854677760219,150.20240783691406,29607700,0.0,0.0
2024-09-12,152.8256911821986,153.839233801539,151.68296725155358,153.71005249023438,29621500,0.0,0.0
2024-09-13,154.44535510677574,157.37667920350046,154.2267627397466,156.46250915527344,29591200,0.0,0.0
2024-09-16,156.31346693580858,157.2475146303272,155.60797314926953,157.0587158203125,18379800,0.0,0.0
2024-09-17,158.0126121899254,159.53291842353528,157.37666719784102,158.3107147216797,20715600,0.0,0.0
2024-09-18,158.84729370623916,159.4832387245749,157.59528121573842,158.797607421875,23677300,0.0,0.0
2024-09-19,162.67291544318158,162.7523953061902,160.31791891468873,161.11285400390625,26587700,0.0,0.0
